Date,Price,Open,High,Low,per_change,Days
25-Feb-16,1.1023,1.1014,1.1052,1.0987,0.0009,347
26-Feb-16,1.0934,1.102,1.1071,1.0913,-0.0081,348
29-Feb-16,1.0873,1.0932,1.0964,1.0858,-0.0056,349
1-Mar-16,1.0867,1.0873,1.0896,1.0835,-0.0006,350
2-Mar-16,1.0868,1.0868,1.0881,1.0825,0.0001,351
3-Mar-16,1.0957,1.0867,1.0974,1.0853,0.0082,352
4-Mar-16,1.1004,1.0958,1.1045,1.0903,0.0043,353
7-Mar-16,1.1014,1.1008,1.1027,1.094,0.0009,354
8-Mar-16,1.1011,1.1014,1.1059,1.0992,-0.0003,355
9-Mar-16,1.0999,1.1012,1.1037,1.0946,-0.0011,356
10-Mar-16,1.1177,1.0998,1.1218,1.0821,0.0162,357
11-Mar-16,1.1153,1.1177,1.1212,1.1081,-0.0021,358
14-Mar-16,1.1106,1.1151,1.1177,1.1076,-0.0042,359
15-Mar-16,1.1109,1.11,1.1125,1.1071,0.0003,360
16-Mar-16,1.1225,1.111,1.1245,1.1058,0.0104,361
17-Mar-16,1.1319,1.1224,1.1344,1.1205,0.0084,362
18-Mar-16,1.127,1.1319,1.1339,1.1257,-0.0043,363
21-Mar-16,1.1241,1.127,1.1286,1.1235,-0.0026,364
22-Mar-16,1.1217,1.1245,1.1263,1.119,-0.0021,365
23-Mar-16,1.1184,1.1218,1.1224,1.1158,-0.0029,366
24-Mar-16,1.1174,1.1179,1.1188,1.1143,-0.0009,367
25-Mar-16,1.1166,1.1176,1.1189,1.1153,-0.0007,368
28-Mar-16,1.1196,1.1164,1.1221,1.1154,0.0027,369
29-Mar-16,1.1291,1.1198,1.1305,1.1168,0.0085,370
30-Mar-16,1.1338,1.129,1.1366,1.1281,0.0042,371
31-Mar-16,1.138,1.1338,1.1413,1.1309,0.0037,372
1-Apr-16,1.1387,1.138,1.1439,1.1334,0.0006,373
4-Apr-16,1.1392,1.1393,1.1414,1.1357,0.0004,374
5-Apr-16,1.1384,1.1389,1.1406,1.1336,-0.0007,375
6-Apr-16,1.1399,1.1384,1.1434,1.1327,0.0013,376
7-Apr-16,1.1377,1.1398,1.1455,1.1337,-0.0019,377
8-Apr-16,1.1401,1.1379,1.1421,1.1349,0.0021,378
11-Apr-16,1.1408,1.1407,1.1448,1.1373,0.0006,379
12-Apr-16,1.1386,1.1408,1.1466,1.1347,-0.0019,380
13-Apr-16,1.1274,1.1385,1.1393,1.1266,-0.0098,381
14-Apr-16,1.1268,1.1274,1.1296,1.1234,-0.0005,382
15-Apr-16,1.1283,1.1271,1.132,1.1246,0.0013,383
18-Apr-16,1.1314,1.1297,1.1334,1.1274,0.0027,384
19-Apr-16,1.1358,1.1314,1.1387,1.1302,0.0039,385
20-Apr-16,1.1297,1.1356,1.1388,1.1288,-0.0054,386
21-Apr-16,1.1288,1.1297,1.1396,1.1272,-0.0008,387
